firm_name,prj_code,date_start_prj,date_end_prj,KPI_id,index_KPI,date_obs,performance,target,KPI_des,KPI_area,baseline,impatto_eco,target_achievement
1,C23_170,05/06/2023,31/12/2923,C23_1701,C23_170132,11/08/2023,4.399736148,2.5,Perdite al collaudo,QUALITY,4.09," 38,582.00 € ",-0.194802609
1,C23_170,05/06/2023,31/12/2923,C23_1701,C23_170133,25/08/2023,4.613065327,2.5,Perdite al collaudo,QUALITY,4.09," 38,582.00 € ",-0.328971904
1,C23_170,05/06/2023,31/12/2923,C23_1701,C23_170134,01/09/2023,4.227607362,2.5,Perdite al collaudo,QUALITY,4.09," 38,582.00 € ",-0.086545511
1,C23_170,05/06/2023,31/12/2923,C23_1701,C23_170135,15/09/2023,4.602234637,2.5,Perdite al collaudo,QUALITY,4.09," 38,582.00 € ",-0.322160149
1,C23_170,05/06/2023,31/12/2923,C23_1701,C23_170136,22/09/2023,3.592270005,2.5,Perdite al collaudo,QUALITY,4.09," 38,582.00 € ",0.313037732
1,C23_170,05/06/2023,31/12/2923,C23_1701,C23_170137,29/09/2023,3.963663891,2.5,Perdite al collaudo,QUALITY,4.09," 38,582.00 € ",0.079456672
1,C23_170,05/06/2023,31/12/2923,C23_1701,C23_170138,06/10/2023,5.445091514,2.5,Perdite al collaudo,QUALITY,4.09," 38,582.00 € ",-0.852258814
1,C23_170,05/06/2023,31/12/2923,C23_1701,C23_170139,13/10/2023,3.774468085,2.5,Perdite al collaudo,QUALITY,4.09," 38,582.00 € ",0.198447745
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_17021,06/01/2023,5.671761535,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.48252747
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_17022,09/01/2023,9.668615085,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-3.487680515
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_17023,11/01/2023,6.695582137,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.252317397
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_17024,13/01/2023,4.659795139,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.27834952
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_17025,16/01/2023,7.834440779,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-2.10860209
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_17026,18/01/2023,6.245782832,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.91412243
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_17027,20/01/2023,5.44687635,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.313440865
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_17028,25/01/2023,7.136277855,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.58366756
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_17029,27/01/2023,6.102053318,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.806055126
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170210,30/01/2023,8.384645332,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-2.522289723
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170211,01/02/2023,7.737472106,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-2.035693313
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170212,03/02/2023,5.917582716,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.667355426
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170213,06/02/2023,8.112858372,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-2.317938625
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170214,08/02/2023,7.504691165,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.860670049
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170215,10/02/2023,5.284343326,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.191235583
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170216,13/02/2023,5.895546566,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.650786892
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170217,15/02/2023,4.011769907,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.765586536
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170218,17/02/2023,2.42313615,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.960048008
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170219,20/02/2023,4.355664429,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.507019226
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170220,22/02/2023,2.309365008,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",2.04559022
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170221,24/02/2023,2.74829811,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.715565331
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170222,27/02/2023,4.147812847,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.663298611
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170223,01/03/2023,5.254001389,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.168422097
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170224,03/03/2023,1.455669174,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",2.687466786
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170225,06/03/2023,4.503462461,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.395892886
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170226,08/03/2023,1.485104861,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",2.665334691
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170227,10/03/2023,2.282763156,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",2.065591612
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170228,13/03/2023,4.506585957,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.393544393
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170229,15/03/2023,3.417047878,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.212745956
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170230,17/03/2023,2.278325617,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",2.068928107
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170231,20/03/2023,5.076636574,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.035065093
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170232,22/03/2023,2.438822068,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.948254084
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170233,24/03/2023,1.987952623,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",2.287253667
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170234,27/03/2023,4.513462539,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.388374031
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170235,29/03/2023,1.534812731,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",2.627960352
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170236,31/03/2023,1.996421258,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",2.280886272
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170237,03/04/2023,3.3186951,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.286695413
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170238,05/04/2023,2.471022994,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.924042862
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170239,07/04/2023,2.0200674,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",2.263107218
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170240,10/04/2023,5.260902701,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.173611053
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170241,12/04/2023,4.307924267,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.542914085
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170242,19/04/2023,5.072234336,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.03175514
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170243,21/04/2023,2.655143904,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.785606087
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170244,24/04/2023,7.446487693,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.81690804
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170245,26/04/2023,5.027133758,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.002155069
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170246,28/04/2023,6.137525849,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.832726202
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170247,03/05/2023,7.036629321,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.50874385
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170248,05/05/2023,5.265077585,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.176750064
